company	10k.date	cash.on.hand	total.assets.foreign.subsidiary	pct.cash.offshore	unrepatriated.foreign.income	income.before.taxes.global	cash.taxes.paid	cash.taxes.paid	effective.tax.rate	est.us.tax.benefit	num.subsidiaries.in.foreign.tax.haven
Apple Inc.	10/31/2012	121251000000	82600000000	0.68	40400000000	55763000000	7682000000	$7,682,000,000	0.14	13800000000	3
Google Inc	1/26/2012	44626000000	24800000000	0.56	24800000000	12326000000	1471000000	$1,471,000,000	0.12	-1	2
Hewlett-Packard	12/14/2011	8043000000	29100000000	-1	29100000000	8982000000	610000000	$610,000,000	0.07	-1	23
Oracle Corporation	6/26/2012	30676000000	26800000000	0.87	20900000000	12962000000	2731000000	$2,731,000,000	0.21	6300000000	5
Intel Corporation	2/23/2012	14837000000	14200000000	-1	14200000000	17781000000	3338000000	$3,338,000,000	0.19	-1	10
Cisco Systems, Inc.	9/12/2012	48716000000	42500000000	0.87	41300000000	10159000000	2014000000	$2,014,000,000	0.2	-1	46
eBay Inc	1/31/2012	7500000000	10000000000	1.33	10000000000	3910046000	372528000	$372,528,000	0.1	-1	36
VMware, Inc.	2/24/2012	4512300000	2072000000	0.46	1560900000	723936	-268954	-$268,954	-0.37	-1	7
Gilead Sciences	2/23/2012	9963972000	5840000000	-1	5840000000	3651004000	621025000	$621,025,000	0.17	2005000000	10
Intuitive Surgical	2/6/2012	2171800000	327500000	0.15	220500000	709700000	152000000	$152,000,000	0.21	-1	4
Salesforce.com	3/9/2012	1447174000	-1	-1	-1	-33317000	20981000	$20,981,000	-1	-1	8
Yahoo	2/29/2012	2529917000	3200000000	1.26	3200000000	827516000	96000000	$96,000,000	0.12	-1	20
Intuit	9/13/2012	744000000	43000000	-1	43000000	1151000000	312000000	$312,000,000	0.27	12000000	2
Adobe Systems	1/26/2012	2900000000	2400000000	0.75	2400000000	1035230000	158373000	$158,373,000	0.15	700000000	10
NetApp, Inc.	6/19/2012	5395500000	2700000000	0.5	1844000000	712400000	48200000	$48,200,000	0.07	-1	4
Applied Materials	12/5/2012	2992000000	1600000000	0.53	1600000000	316000000	164000000	$164,000,000	0.52	-1	24
Agilent Technologies	12/16/2011	3527000000	4213000000	1.19	4213000000	1032000000	22000000	$22,000,000	0.02	-1	13
Symantec	5/21/2012	3162000000	2400000000	0.76	2400000000	1470000000	234000000	$234,000,000	0.16	730000000	4
Altera	2/17/2012	3371933000	2200000000	-1	2200000000	848992000	9856000	$9,856,000	0.01	-1	3
Juniper Networks	2/24/2012	2910400000	1462600000	0.49	1462600000	571716000	-2080000	-$2,080,000	0	447300000	3
SanDisk	2/23/2012	2850000000	649000000	0.23	362000000	1476754000	-374460000	-$374,460,000	-0.25	-1	11
LinkedIn	3/2/2012	577500000	53300000	0.09	53300000	22942000	2261000	$2,261,000	0.1	-1	4
Xilinx	5/25/2012	3130000000	1670000000	-1	1670000000	597051000	-2447000	-$2,447,000	0	544300000	8
Zynga	2/28/2012	1917606000	1200000	-1	1200000	-406142000	-15682000	-$15,682,000	0.04	-1	5
Nvidia	3/13/2012	3129576000	1900000000	0.61	1290000000	663396000	58328000	$58,328,000	0.09	-1	12
KLA Tencor	8/6/2012	2534444000	912700000	0.36	912700000	974094000	20018000	$20,018,000	0.02	302700000	12
Maxim Integrated	8/17/2012	956386000	58500000	-1	58500000	532733000	39827000	$39,827,000	0.07	8700000	10
Varian Medical Systems	11/21/2012	704600000	1051200000	0.93	1051200000	595924000	134600000	$134,600,000	0.23	281700000	6
Linear Technology	8/29/2012	1203059000	612000000	-1	612000000	535910000	91315000	$91,315,000	0.17	-1	2
Equinix	2/24/2012	1076345000	140000000	0.13	121000000	130961000	9157000	$9,157,000	0.07	-1	14
Trimble Navigation	2/28/2012	154621000	178400000	-1	178400000	167454000	13867000	$13,867,000	0.08	62500000	9
Netflix	2/10/2012	797811000	-1	-1	-1	359522000	79069000	$79,069,000	0.22	-1	
Informatica	2/24/2012	316835000	46400000	-1	46400000	166628000	7119000	$7,119,000	0.04	-1	8
Advanced Micro Devices	2/24/2012	1765000000	414000000	-1	414000000	-177000000	9000000	$9,000,000	-1	141000000	5
VeriFone Systems	12/23/2012	594562000	372800000	0.63	127300000	90992000	-2897000	-$2,897,000	-0.03	-1	3
Electronic Arts	5/25/2012	1293000000	1415000000	1.09	1415000000	18000000	-4000000	-$4,000,000	-0.22	-1	14
Lam Research	8/22/2012	3000000000	1900000000	-1	1900000000	204418000	29113000	$29,113,000	0.14	430500000	23
Tibco Software	1/30/2012	308148000	177900000	0.58	142500000	149935000	12883000	$12,883,000	0.09	-1	10
LSI	2/29/2012	935500000	83100000	-1	83100000	93790000	11800000	$11,800,000	0.13	-1	13
Synopsys	12/16/2011	1004100000	774100000	0.77	530000000	219113000	35577000	$35,577,000	0.16	114000000	12
Atmel	2/28/2012	332510000	297200000	0.89	297200000	381190000	31986000	$31,986,000	0.08	-1	8
Riverbed Technology	2/10/2012	593400000	-1	-1	-1	92046000	-8331000	-$8,331,000	-0.09	-1	4
Fortinet	2/28/2012	538688000	24300000	0.05	24300000	92073000	-305000	-$305,000	0	-1	
Dolby Laboratories	11/15/2012	1156900000	234400000	0.2	162200000	368991000	98497000	$98,497,000	0.27	48300000	0
Tesla Motors	2/27/2012	280300000	2200000	-1	2200000	-253922000	282000	$282,000	-1	-1	
Rovi	2/23/2012	440500000	271900000	0.62	124900000	18557000	15000000	$15,000,000	0.81	-1	8
Novellus Systems	2/24/2012	918738000	373100000	0.41	373100000	293149000	27328000	$27,328,000	0.09	-1	15
NetSuite	2/28/2012	141448000	3900000	-1	3900000	-30236000	1271000	$1,271,000	-1	-1	2
Polycom	2/17/2012	591600000	440200000	0.74	293100000	147220000	15947000	$15,947,000	0.11	-1	7
JDS Uniphase	8/24/2012	752700000	186100000	0.12	186100000	-43600000	16200000	$16,200,000	-1	8200000	13
